ENU4200310010
year,period,periodName,latest,value,footnotes
2019,M09,September,true,704828,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2013,Q02,2nd Quarter,34000,[{}]
2013,Q01,1st Quarter,34486,[{}]
2012,Q04,4th Quarter,35423,[{}]
2012,Q03,3rd Quarter,35439,[{}]
2012,Q02,2nd Quarter,35333,[{}]
2012,Q01,1st Quarter,35171,[{}]
2011,Q04,4th Quarter,35380,[{}]
2011,Q03,3rd Quarter,35141,[{}]
2011,Q02,2nd Quarter,35018,[{}]
2011,Q01,1st Quarter,34865,[{}]
2010,Q04,4th Quarter,34950,[{}]
2010,Q03,3rd Quarter,34714,[{}]
2010,Q02,2nd Quarter,34549,[{}]
2010,Q01,1st Quarter,34545,[{}]


ENU4200510010
year,period,periodName,latest,value,footnotes
2019,M09,September,true,16439,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M08,August,16263,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M07,July,16234,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M06,June,16664,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M05,May,16670,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M04,April,16457,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M03,March,16210,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M02,February,16083,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2019,M01,January,16141,"[{""code""=>""P"", ""text""=>""Preliminary.""}]"
2018,M12,December,16567,[{}]
2018,M11,November,16652,[{}]
2018,M10,October,16721,[{}]
2018,M09,September,16635,[{}]
2018,M08,August,16338,[{}]
2018,M07,July,16312,[{}]
2018,M06,June,16783,[{}]
2018,M05,May,16739,[{}]
2018,M04,April,16460,[{}]
2018,M03,March,16336,[{}]
2018,M02,February,16228,[{}]
2018,M01,January,16225,[{}]
2017,M12,December,16394,[{}]
2017,M11,November,16415,[{}]
2017,M10,October,16357,[{}]
2017,M09,September,16408,[{}]
2017,M08,August,16158,[{}]
2017,M07,July,16183,[{}]
2017,M06,June,16588,[{}]
2017,M05,May,16536,[{}]
2017,M04,April,16333,[{}]
2017,M03,March,16090,[{}]
2017,M02,February,15989,[{}]
2017,M01,January,16088,[{}]
2016,M12,December,16424,[{}]
2016,M11,November,16471,[{}]
2016,M10,October,16519,[{}]
2016,M09,September,16454,[{}]
2016,M08,August,16100,[{}]
2016,M07,July,16208,[{}]
2016,M06,June,16532,[{}]
2016,M05,May,16615,[{}]
2016,M04,April,16454,[{}]
2016,M03,March,16512,[{}]
2016,M02,February,16076,[{}]
2016,M01,January,16224,[{}]
2015,M12,December,16785,[{}]
2015,M11,November,16836,[{}]
2015,M10,October,16924,[{}]
2015,M09,September,17176,[{}]
2015,M08,August,16943,[{}]
2015,M07,July,17037,[{}]
2015,M06,June,17581,[{}]
2015,M05,May,17636,[{}]
2015,M04,April,17344,[{}]
2015,M03,March,17099,[{}]
2015,M02,February,16991,[{}]
2015,M01,January,17237,[{}]
2014,M12,December,17661,[{}]
2014,M11,November,17667,[{}]
2014,M10,October,17659,[{}]
2014,M09,September,17705,[{}]
2014,M08,August,17420,[{}]
2014,M07,July,17410,[{}]
2014,M06,June,18013,[{}]
2014,M05,May,17933,[{}]
2014,M04,April,17690,[{}]
2014,M03,March,17313,[{}]
2014,M02,February,17101,[{}]
2014,M01,January,17169,[{}]
2013,M12,December,17564,[{}]
2013,M11,November,17767,[{}]
2013,M10,October,17904,[{}]
2013,M09,September,17847,[{}]
2013,M08,August,17634,[{}]
2013,M07,July,17633,[{}]
2013,M06,June,18122,[{}]
2013,M05,May,18014,[{}]
2013,M04,April,17791,[{}]
2013,M03,March,17705,[{}]
2013,M02,February,17546,[{}]
2013,M01,January,17480,[{}]
2012,M12,December,17661,[{}]
2012,M11,November,17788,[{}]
2012,M10,October,17861,[{}]
2012,M09,September,17800,[{}]
2012,M08,August,17643,[{}]
2012,M07,July,17513,[{}]
2012,M06,June,18156,[{}]
2012,M05,May,18108,[{}]
2012,M04,April,17881,[{}]
2012,M03,March,17789,[{}]
2012,M02,February,17541,[{}]
2012,M01,January,17532,[{}]
2011,M12,December,17914,[{}]
2011,M11,November,17979,[{}]
2011,M10,October,18086,[{}]
2011,M09,September,18105,[{}]
2011,M08,August,17783,[{}]
2011,M07,July,17762,[{}]
2011,M06,June,18088,[{}]
2011,M05,May,18133,[{}]
2011,M04,April,17876,[{}]
2011,M03,March,17495,[{}]
2011,M02,February,17319,[{}]
2011,M01,January,17425,[{}]
2010,M12,December,17848,[{}]
